,date,code,open,high,low,close,preclose,volume,amount,pctChg
110,2016-06-17,sh.000300,3096.0900,3131.0490,3096.0900,3110.3570,3094.6750,8540298500,97953389320.0000,0.506700
111,2016-06-20,sh.000300,3114.9060,3118.7250,3089.7130,3112.6740,3110.3570,6358714100,74647802462.0000,0.074500
112,2016-06-21,sh.000300,3124.8980,3155.4930,3097.9400,3106.3170,3112.6740,8796534500,107233643632.0000,-0.204200
113,2016-06-22,sh.000300,3100.4500,3134.0610,3096.9920,3133.9610,3106.3170,6648711300,81348715848.0000,0.889900
114,2016-06-23,sh.000300,3129.7210,3129.7210,3102.4810,3117.3170,3133.9610,6775173800,81732552159.0000,-0.531100
115,2016-06-24,sh.000300,3110.6460,3130.5390,3033.9650,3077.1560,3117.3170,10479220800,118967441702.0000,-1.288300
116,2016-06-27,sh.000300,3065.1280,3120.6400,3064.9660,3120.5440,3077.1550,8326725900,104066083791.0000,1.410000
117,2016-06-28,sh.000300,3107.3980,3139.4300,3099.7010,3136.4010,3120.5440,9202463700,117197791504.0000,0.508100
118,2016-06-29,sh.000300,3142.4840,3158.0760,3139.1330,3151.3900,3136.4010,10372366800,117958861189.0000,0.477900
119,2016-06-30,sh.000300,3152.8330,3163.7200,3148.1990,3153.9210,3151.3900,7969261700,100627912925.0000,0.080300
120,2016-07-01,sh.000300,3156.9320,3170.2580,3148.2950,3154.2000,3153.9210,7174628300,91215027688.0000,0.008800
121,2016-07-04,sh.000300,3136.3850,3210.6020,3134.0230,3204.6960,3154.2000,13331052900,149894780037.0000,1.600900
122,2016-07-05,sh.000300,3199.1570,3216.7030,3197.9960,3207.3830,3204.6960,13022689500,143899100428.0000,0.083800
123,2016-07-06,sh.000300,3197.6250,3217.5160,3183.4510,3216.8030,3207.3830,12489745800,147232471496.0000,0.293700
124,2016-07-07,sh.000300,3206.5510,3220.5400,3190.1240,3209.9540,3216.8040,11859520200,140488833675.0000,-0.212900
125,2016-07-08,sh.000300,3199.7540,3204.9280,3183.9590,3192.2810,3209.9540,8973485500,111063465417.0000,-0.550600
126,2016-07-11,sh.000300,3199.0380,3235.9620,3197.6250,3203.3300,3192.2800,13852951100,155288151673.0000,0.346100
127,2016-07-12,sh.000300,3201.9060,3273.4740,3200.3030,3273.1820,3203.3300,17253421700,190853738897.0000,2.180600
128,2016-07-13,sh.000300,3274.0200,3300.9910,3271.7750,3282.8680,3273.1820,17519609000,196592300322.0000,0.295900
129,2016-07-14,sh.000300,3277.4820,3281.9500,3259.0650,3276.7640,3282.8680,10752579800,128090420917.0000,-0.185900
130,2016-07-15,sh.000300,3278.8360,3285.0260,3265.2910,3276.2780,3276.7640,10266502600,125179812929.0000,-0.014800
131,2016-07-18,sh.000300,3269.7080,3281.6370,3251.7660,3262.0220,3276.2780,11031251800,129785706199.0000,-0.435100
132,2016-07-19,sh.000300,3260.4350,3264.7300,3226.1990,3248.2340,3262.0220,8888686100,107108911172.0000,-0.422700
133,2016-07-20,sh.000300,3246.8630,3254.5080,3232.2570,3237.6050,3248.2340,7270125500,91367448994.0000,-0.327200
134,2016-07-21,sh.000300,3238.3370,3271.3740,3238.3030,3252.5230,3237.6050,8600482500,107464072513.0000,0.460800
135,2016-07-22,sh.000300,3251.2420,3253.7690,3220.8940,3225.1620,3252.5230,8602912800,107416887320.0000,-0.841200
136,2016-07-25,sh.000300,3220.1660,3243.7900,3218.1420,3230.8850,3225.1620,7020318500,92015844035.0000,0.177400
137,2016-07-26,sh.000300,3228.2340,3269.7460,3228.0080,3269.5880,3230.8850,8105108900,103745762758.0000,1.197900
138,2016-07-27,sh.000300,3270.0840,3276.5110,3157.4090,3218.2430,3269.5880,16018866500,186928366498.0000,-1.570400
